mol_name,activity,potency
CHEMBL4463050,Active,8.040958607678906
CHEMBL3693969,Active,7.249234550105989
CHEMBL3687252,Active,8.508638306165727
CHEMBL1689397,Active,6.769551078621726
CHEMBL4064790,Active,8.187086643
CHEMBL3355413,Active,5.764724123312948
CHEMBL3653181,Active,9.795880017344075
CHEMBL3923181,Active,9.769551078621726
CHEMBL3933202,Active,9.154901959985743
CHEMBL4169540,Active,7.142667503568731
CHEMBL211045,Active,6.53042341747392
CHEMBL2089209,Active,5.978810700930062
CHEMBL3703349,Active,6.285670240254767
CHEMBL3657014,Active,9.795880017344075
CHEMBL3687242,Active,8.21467016
CHEMBL3665599,Active,6.480172006224281
CHEMBL3407560,Active,9.67778070526608
CHEMBL3675204,Active,6.434152181326482
CHEMBL3657097,Active,9.494850021680094
CHEMBL3649979,Active,8.698970004336019
CHEMBL3703341,Active,8.366531544420413
CHEMBL3799456,Active,5.94692155651658
CHEMBL3653240,Active,8.812479279163536
CHEMBL3657015,Active,9.537602002101044
CHEMBL3703655,Active,5.045757490560675
CHEMBL3704508,Active,6.0
CHEMBL3939191,Active,9.0
CHEMBL4443840,Active,7.9244530399999995
CHEMBL3657122,Active,9.869666231504993
CHEMBL3649991,Active,8.632023214705406
CHEMBL3933957,Active,8.045757490560675
CHEMBL3650024,Active,8.301029995663981
CHEMBL383727,Active,6.008773924
CHEMBL3675226,Active,6.167491087293763
CHEMBL3663839,Active,6.0
CHEMBL3649821,Active,9.0
CHEMBL3691712,Active,5.362545295648354
CHEMBL2152319,Active,5.7447274948966935
CHEMBL3923605,Active,8.744727494896694
CHEMBL3407558,Active,9.5016894462104
CHEMBL3657051,Active,8.920818753952375
CHEMBL2347380,Active,5.7447274948966935
CHEMBL4177390,Active,6.468521082957745
CHEMBL3927643,Active,5.2291479899999995
CHEMBL3983735,Active,6.154901959985743
CHEMBL4164148,Active,6.769551078621726
CHEMBL2059435,Active,8.585026652029182
CHEMBL5183859,Active,5.199999999999999
CHEMBL3691747,Active,9.431798275933005
CHEMBL210409,Active,5.549750892
CHEMBL3265100,Active,6.823908740944319
CHEMBL3653172,Active,9.657577319177793
CHEMBL3653313,Active,7.795880017
CHEMBL3649997,Active,8.096910013
CHEMBL3649962,Active,8.221848749616356
CHEMBL2152322,Active,5.0222763947111515
CHEMBL3653305,Active,9.42021640338319
CHEMBL4284006,Active,5.773400094792643
CHEMBL3649855,Active,7.40523925
